FileName	Channel	Chem	Dose	Cond	Treatm	Name	Group
Cy3_DCP_Low_Cy5_DCP_High_253100010007_1_3.txt	Cy3	DCP	Low	DCP_chem	chem	DCP_Low_na_Cy3_rep2	DCPLowchem
Cy3_DCP_Low_Cy5_Esfen_Low_253100010007_2_4.txt	Cy3	DCP	Low	DCP_chem	chem	DCP_Low_na_Cy3_rep3	DCPLowchem
Cy3_Fluc_Low_Cy5_DCP_Low_253100010032_1_4.txt	Cy5	DCP	Low	DCP_chem	chem	DCP_Low_na_Cy5_rep1	DCPLowchem
Cy3_DCP_Fluc_Ctrl_Cy5_DCP_Low_253100010034_2_1.txt	Cy5	DCP	Low	DCP_chem	chem	DCP_Low_na_Cy5_rep2	DCPLowchem
Cy3_Dino_Low_Cy5_DCP_Low_253100010036_2_3.txt	Cy5	DCP	Low	DCP_chem	chem	DCP_Low_na_Cy5_rep3	DCPLowchem
Cy3_DCP_Fluc_Ctrl_Cy5_Acro_Esfen_Ctrl_253100010007_1_4.txt	Cy3	DCP	Fluc	DCP_Ctrl	Ctrl	DCP_Fluc_Ctrl_Cy3_rep1	DCPFlucCtrl
Cy3_DCP_Fluc_Ctrl_Cy5_DCP_Low_253100010034_2_1.txt	Cy3	DCP	Fluc	DCP_Ctrl	Ctrl	DCP_Fluc_Ctrl_Cy3_rep2	DCPFlucCtrl
Cy3_DCP_Fluc_Ctrl_Cy5_Fluc_Low_253100010023_2_4.txt	Cy3	DCP	Fluc	DCP_Ctrl	Ctrl	DCP_Fluc_Ctrl_Cy3_rep3	DCPFlucCtrl
Cy3_DCP_High_Cy5_DCP_Fluc_Ctrl_253100010036_2_4.txt	Cy5	DCP	Fluc	DCP_Ctrl	Ctrl	DCP_Fluc_Ctrl_Cy5_rep1	DCPFlucCtrl
Cy3_DMP_Dino_Ctrl_Cy5_DCP_Fluc_Ctrl_253100010006_2_2.txt	Cy5	DCP	Fluc	DCP_Ctrl	Ctrl	DCP_Fluc_Ctrl_Cy5_rep2	DCPFlucCtrl
Cy3_Fluc_High_Cy5_DCP_Fluc_Ctrl_253100010032_1_2.txt	Cy5	DCP	Fluc	DCP_Ctrl	Ctrl	DCP_Fluc_Ctrl_Cy5_rep3	DCPFlucCtrl
Cy3_DCP_Fluc_SC_Cy5_Acro_Esfen_SC_253100010007_2_1.txt	Cy3	DCP	Fluc	DCP_SC	SolvC	DCP_Fluc_SC_Cy3_rep1	DCPFlucSolvC
Cy3_DCP_Fluc_SC_Cy5_DCP_High_253100010032_1_3.txt	Cy3	DCP	Fluc	DCP_SC	SolvC	DCP_Fluc_SC_Cy3_rep2	DCPFlucSolvC
Cy3_DCP_Fluc_SC_Cy5_Fluc_High_253100010009_2_4.txt	Cy3	DCP	Fluc	DCP_SC	SolvC	DCP_Fluc_SC_Cy3_rep3	DCPFlucSolvC
Cy3_DCP_Low_Cy5_DCP_Fluc_SC_253100010016_1_1.txt	Cy5	DCP	Fluc	DCP_SC	SolvC	DCP_Fluc_SC_Cy5_rep1	DCPFlucSolvC
Cy3_DMP_Dino_SC_Cy5_DCP_Fluc_SC_253100010006_2_3.txt	Cy5	DCP	Fluc	DCP_SC	SolvC	DCP_Fluc_SC_Cy5_rep2	DCPFlucSolvC
Cy3_Fluc_Low_Cy5_DCP_Fluc_SC_253100010034_2_2.txt	Cy5	DCP	Fluc	DCP_SC	SolvC	DCP_Fluc_SC_Cy5_rep3	DCPFlucSolvC
