File	Channel	Chem	Dose	Treatm	Name
Cy3_DMP_Dino_Ctrl_Cy5_DMP_Low_253100010018_1_2.txt	Cy5	DMP	Low	na	DMP_Low_na_Cy5_rep3
Cy3_Esfen_High_Cy5_Acro_Esfen_Ctrl_253100010034_2_3.txt	Cy3	Esfen	High	na	Esfen_High_na_Cy3_rep1
Cy3_Esfen_High_Cy5_Acro_High_253100010014_1_3.txt	Cy3	Esfen	High	na	Esfen_High_na_Cy3_rep2
Cy3_Esfen_High_Cy5_Lind_High_253100010032_2_4.txt	Cy3	Esfen	High	na	Esfen_High_na_Cy3_rep3
Cy3_Esfen_Low_Cy5_Esfen_High_253100010005_2_1.txt	Cy5	Esfen	High	na	Esfen_High_na_Cy5_rep1
Cy3_DCP_High_Cy5_Esfen_High_253100010008_1_1.txt	Cy5	Esfen	High	na	Esfen_High_na_Cy5_rep2
Cy3_Acro_Esfen_SC_Cy5_Esfen_High_253100010016_1_4.txt	Cy5	Esfen	High	na	Esfen_High_na_Cy5_rep3
Cy3_Esfen_Low_Cy5_Acro_Esfen_SC_253100010014_1_2.txt	Cy3	Esfen	Low	na	Esfen_Low_na_Cy3_rep1
Cy3_Esfen_Low_Cy5_Esfen_High_253100010005_2_1.txt	Cy3	Esfen	Low	na	Esfen_Low_na_Cy3_rep2
Cy3_Esfen_Low_Cy5_Lind_Low_253100010035_1_2.txt	Cy3	Esfen	Low	na	Esfen_Low_na_Cy3_rep3
Cy3_DCP_Low_Cy5_Esfen_Low_253100010007_2_4.txt	Cy5	Esfen	Low	na	Esfen_Low_na_Cy5_rep1
Cy3_Acro_Low_Cy5_Esfen_Low_253100010016_2_1.txt	Cy5	Esfen	Low	na	Esfen_Low_na_Cy5_rep2
Cy3_Acro_Esfen_Ctrl_Cy5_Esfen_Low_253100010032_2_1.txt	Cy5	Esfen	Low	na	Esfen_Low_na_Cy5_rep3
Cy3_Fluc_High_Cy5_Acro_High_253100010007_2_3.txt	Cy3	Fluc	High	na	Fluc_High_na_Cy3_rep1
Cy3_Fluc_High_Cy5_DCP_Fluc_Ctrl_253100010032_1_2.txt	Cy3	Fluc	High	na	Fluc_High_na_Cy3_rep2
Cy3_Fluc_High_Cy5_Fluc_Low_253100010007_1_2.txt	Cy3	Fluc	High	na	Fluc_High_na_Cy3_rep3
Cy3_DCP_Fluc_SC_Cy5_Fluc_High_253100010009_2_4.txt	Cy5	Fluc	High	na	Fluc_High_na_Cy5_rep1
